"VAT/TAX ID:","Α.Φ.Μ.:",module,Magento_Company
"VAT/TAX ID","Α.Φ.Μ.",module,Magento_Company
"VAT/TAX ID: ","Α.Φ.Μ.: ",module,Magento_Company
"VAT / TAX ID","Α.Φ.Μ.",module,Magento_Company
"The VAT ID is valid.","Το ΑΦΜ δεν είναι έγκυρο.",module,Magento_Customer
"The VAT ID is valid. The current Customer Group will be used.","Το ΑΦΜ είναι έγκυρο. Θα χρησιμοποιηθεί η τρέχουσα ομάδα πελατών.",module,Magento_Customer
"The VAT ID is valid but no Customer Group is assigned for it.","Το ΑΦΜ είναι έγκυρο, αλλά καμία ομάδα πελατών δεν είναι συνδεδεμένη με αυτό.",module,Magento_Customer
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Με βάση το ΑΦΜ, ο πελάτης ανήκει στην ομάδα πελατών %s.",module,Magento_Customer
"Something went wrong while validating the VAT ID.","Κάτι πήγε στραβά κατά την επικύρωση του ΑΦΜ.",module,Magento_Customer
"Validate VAT Number","Επικύρωση Α.Φ.Μ.",module,Magento_Customer
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση αποστολής σας για σωστό υπολογισμό ΦΠΑ.",module,Magento_Customer
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση χρέωσής σας για σωστό υπολογισμό ΦΠΑ.",module,Magento_Customer
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση αποστολής σας για σωστό υπολογισμό ΦΠΑ.",module,Magento_Customer
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Αν είστε υπόχρεος ΦΠΑ, παρακαλώ κάντε κλικ <a href=""%1"">εδώ</a> για να εισαγάγετε τη διεύθυνση χρέωσής σας για σωστό υπολογισμό ΦΠΑ.",module,Magento_Customer
"Your Tax ID cannot be validated.","Δεν μπορεί να επικυρωθεί το ΑΦΜ σας.",module,Magento_Customer
"enter your billing address for proper VAT calculation","εισάγετε τη διεύθυνση χρέωσής σας για σωστό υπολογισμό ΦΠΑ",module,Magento_Customer
"enter your shipping address for proper VAT calculation","εισάγετε τη διεύθυνση αποστολής σας για τον κατάλληλο υπολογισμό ΦΠΑ",module,Magento_Customer
"Group for Valid VAT ID - Domestic","Ομάδα για το έγκυρο ΑΦΜ - εγχώριες",module,Magento_Customer
"Group for Valid VAT ID - Intra-Union","Ομάδα για το έγκυρο ΑΦΜ - εντός της Ένωσης",module,Magento_Customer
"Group for Invalid VAT ID","Ομάδα για το μη έγκυρο ΑΦΜ",module,Magento_Customer
"Default Value for Disable Automatic Group Changes Based on VAT ID","Προεπιλεγμένη τιμή για την απενεργοποίηση Αυτόματων αλλαγών Ομάδας με βάση ΑΦΜ",module,Magento_Customer
"Show VAT Number on Storefront","Εμφάνιση ΑΦΜ στην Βιτρίνα Καταστήματος",module,Magento_Customer
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Για να εμφανίσετε τον ΑΦΜ στη Βιτρίνα Καταστήματος, ορίστε την επιλογή Προβολής ΑΦΜ στη Βιτρίνα Καταστήματος σε Ναι.",module,Magento_Customer
"Disable Automatic Group Change Based on VAT ID","Απενεργοποιήσετε την αυτόματη αλλαγή ομάδας βάσει ΑΦΜ",module,Magento_Customer
"Contact Us","Επικοινωνήστε μαζί μας",module,Magento_Contact
